"","(Intercept)","as.Date(sire_birth_date)","kept_markers_adjusted","sire_age_at_collection","I(sire_age_at_collection^2)","sire_breeding_window","sire_jersey_propn","as.Date(sire_birth_date):kept_markers_adjusted","as.Date(sire_birth_date):sire_age_at_collection","as.Date(sire_birth_date):sire_breeding_window","as.Date(sire_birth_date):sire_jersey_propn","kept_markers_adjusted:sire_age_at_collection","kept_markers_adjusted:sire_breeding_window","kept_markers_adjusted:sire_jersey_propn","sire_age_at_collection:sire_breeding_window","sire_age_at_collection:sire_jersey_propn","sire_breeding_window:sire_jersey_propn","df","logLik","AICc","delta","weight"
"37",1.04659971560979,NA,NA,1.62625192673771e-05,NA,NA,-0.0634529932311502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,26550.5013781984,-53087.0015596111,0,0.986414916832845
"39",1.03642290680676,NA,4.19506221886667e-05,1.56489986138488e-05,NA,NA,-0.0629508142447576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,26547.2072940318,-53078.4130493225,8.58851028855133,0.0134613407600649
"38",0.976084704421049,5.47289630678869e-06,NA,1.73422374851134e-05,NA,NA,-0.0634305469572199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,26541.8322225938,-53067.6629064466,19.3386531644501,6.2333921937639e-05
"16421",1.04877612934485,NA,NA,1.25989262726337e-05,NA,NA,-0.0694633876146739,NA,NA,NA,NA,NA,NA,NA,NA,9.0800432410984e-06,NA,8,26541.5006337453,-53066.9997287496,20.0018308614453,4.47421908118099e-05
"4135",1.0437219975308,NA,1.47442694010842e-05,1.56784754114287e-05,NA,NA,-0.0817053995698026,NA,NA,NA,NA,NA,NA,7.37394988421503e-05,NA,NA,NA,9,26541.1660271612,-53064.3301308755,22.6714287355207,1.17766409082212e-05
"53",1.04585780955794,NA,NA,1.60160757593915e-05,NA,1.66890418195579e-06,-0.0634232983679369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,26538.9420380154,-53061.8825372899,25.1190223212107,3.46364392572274e-06
"16423",1.03863981531095,NA,4.21975523981824e-05,1.19206008180984e-05,NA,NA,-0.0690544797598533,NA,NA,NA,NA,NA,NA,NA,NA,9.22589335999283e-06,NA,9,26538.2879779001,-53058.5740323533,28.4275272577215,6.62369795425581e-07
"40",0.972240031928524,4.96289292115818e-06,4.02503607327864e-05,1.66680075012218e-05,NA,NA,-0.062462003347866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,26537.9690466616,-53057.9361698764,29.0653897346856,4.81493515980685e-07
"41",1.05601312846637,NA,NA,NA,4.66401375443075e-09,NA,-0.0638772555261975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,26534.563241495,-53055.1252862041,31.8762734069314,1.1809045855853e-07
"1063",1.04968068880936,NA,-2.63635898391044e-06,6.7393950466863e-07,NA,NA,-0.0630788412149837,NA,NA,NA,NA,5.2838123338176e-08,NA,NA,NA,NA,NA,9,26536.0616077974,-53054.121292148,32.8802674630206,7.14825883660673e-08
