"va","n","true_h2","h2_est","h2_err","method"
4,1,0.8,0.890950764560473,0.0909507645604732,"BayesA"
4,2,0.8,0.88593634820884,0.0859363482088397,"BayesA"
4,3,0.8,0.878728033917824,0.0787280339178239,"BayesA"
4,4,0.8,0.881493912744485,0.081493912744485,"BayesA"
4,5,0.8,0.881229397720636,0.0812293977206361,"BayesA"
4,6,0.8,0.881365843055967,0.0813658430559672,"BayesA"
4,7,0.8,0.882001849271998,0.0820018492719982,"BayesA"
4,8,0.8,0.884987088443808,0.0849870884438076,"BayesA"
4,9,0.8,0.886100852808412,0.0861008528084123,"BayesA"
4,10,0.8,0.880999917544666,0.0809999175446655,"BayesA"
3.75,1,0.75,0.8462549558741,0.0962549558741,"BayesA"
3.75,2,0.75,0.844114839062296,0.0941148390622963,"BayesA"
3.75,3,0.75,0.857830790358714,0.107830790358714,"BayesA"
3.75,4,0.75,0.84666957411366,0.0966695741136603,"BayesA"
3.75,5,0.75,0.84548362957647,0.0954836295764703,"BayesA"
3.75,6,0.75,0.823163921707231,0.0731639217072312,"BayesA"
3.75,7,0.75,0.837195412350719,0.0871954123507193,"BayesA"
3.75,8,0.75,0.840478652034706,0.0904786520347061,"BayesA"
3.75,9,0.75,0.835141198368096,0.0851411983680955,"BayesA"
3.75,10,0.75,0.844971365930458,0.0949713659304577,"BayesA"
3.5,1,0.7,0.806984404652582,0.106984404652582,"BayesA"
3.5,2,0.7,0.806891840030046,0.106891840030046,"BayesA"
3.5,3,0.7,0.816520997013156,0.116520997013156,"BayesA"
3.5,4,0.7,0.795243839676501,0.0952438396765007,"BayesA"
3.5,5,0.7,0.777719156084301,0.0777191560843011,"BayesA"
3.5,6,0.7,0.801375484204403,0.101375484204403,"BayesA"
3.5,7,0.7,0.795093331952175,0.0950933319521755,"BayesA"
3.5,8,0.7,0.811782141416192,0.111782141416192,"BayesA"
3.5,9,0.7,0.80201110746446,0.10201110746446,"BayesA"
3.5,10,0.7,0.802178365028631,0.102178365028631,"BayesA"
3.25,1,0.65,0.748030128434339,0.0980301284343394,"BayesA"
3.25,2,0.65,0.759204043540499,0.109204043540499,"BayesA"
3.25,3,0.65,0.752681580476669,0.102681580476669,"BayesA"
3.25,4,0.65,0.773305432441142,0.123305432441142,"BayesA"
3.25,5,0.65,0.754751125259341,0.104751125259341,"BayesA"
3.25,6,0.65,0.744269268392961,0.0942692683929612,"BayesA"
3.25,7,0.65,0.759643604919362,0.109643604919362,"BayesA"
3.25,8,0.65,0.727585196515379,0.077585196515379,"BayesA"
3.25,9,0.65,0.751972094891513,0.101972094891513,"BayesA"
3.25,10,0.65,0.755473744691342,0.105473744691342,"BayesA"
3,1,0.6,0.723143142267991,0.123143142267991,"BayesA"
3,2,0.6,0.705669546420231,0.105669546420231,"BayesA"
3,3,0.6,0.703282610056285,0.103282610056285,"BayesA"
3,4,0.6,0.716732554018041,0.116732554018042,"BayesA"
3,5,0.6,0.701006329314077,0.101006329314077,"BayesA"
3,6,0.6,0.719867926133037,0.119867926133037,"BayesA"
3,7,0.6,0.695722027507201,0.0957220275072014,"BayesA"
3,8,0.6,0.730905369131081,0.130905369131081,"BayesA"
3,9,0.6,0.704408840952758,0.104408840952758,"BayesA"
3,10,0.6,0.722270088306699,0.122270088306699,"BayesA"
2.75,1,0.55,0.663360663759792,0.113360663759792,"BayesA"
2.75,2,0.55,0.657220711613582,0.107220711613582,"BayesA"
2.75,3,0.55,0.674697381302671,0.124697381302671,"BayesA"
2.75,4,0.55,0.681194403657771,0.131194403657771,"BayesA"
2.75,5,0.55,0.654739321262273,0.104739321262273,"BayesA"
2.75,6,0.55,0.676988279879139,0.126988279879139,"BayesA"
2.75,7,0.55,0.649911351849338,0.0999113518493382,"BayesA"
2.75,8,0.55,0.660285687517459,0.110285687517459,"BayesA"
2.75,9,0.55,0.677902951047441,0.127902951047441,"BayesA"
2.75,10,0.55,0.66480036852405,0.11480036852405,"BayesA"
