"family","sires","mean","mean_error","mean_sigma","lm_intercept","lm_intercept_error","lm_slope","lm_slope_error","lm_sigma","sire_jersey_propn","sire_breed","sire_birth_date","sire_birth_year","sire_region","halfsibs_in_data","halfsibs_total","sire_breeding_window","sire_avg_age_at_col","rounded_ages","children_per_age"
1,67940,1.25455158528814,0.0513205746318943,0.170211090079425,1.39879037523347,0.0917686617611031,-7.98222412536399e-05,4.38630095769857e-05,0.153401229906045,0,"Holstein","1986-08-21",1986,"SOUTH AUCKLAND",11,24,2968,1807,"1 5 9","3 5 3"
1,67942,0.988291705905315,0.0426589008039535,0.153808854203586,-0.268463723481114,0.47321686258087,0.000544521416545247,0.000204479965045669,0.12526697004358,0,"Holstein","1989-07-24",1989,"SOUTH AUCKLAND",13,32,650,2308,"5 6 7","1 10 2"
1,67943,1.17822538340335,0.0755853931992485,0.261835482662339,0.386902277301021,1.45988523726535,0.000425042624467478,0.000783022940903254,0.270656781159393,1,"Jersey","1990-07-22",1990,"SOUTH AUCKLAND",12,15,240,1861.75,"5","12"
1,67944,1.00330366251269,0.0526625342554902,0.189877467554049,0.713610756650531,0.244838760057016,0.00015935377549224,0.000131647167940827,0.186300554857188,1,"Jersey","1986-08-01",1986,"SOUTH AUCKLAND",13,17,1644,1817.92307692308,"1 5 6","1 10 2"
1,67947,1.04770953605606,0.033899443276882,0.166072677185565,0.395144499151029,0.352971456294167,0.000340453912562948,0.000183381787419304,0.157886979936657,1,"Jersey","1991-07-27",1991,"SOUTH AUCKLAND",24,26,554,1916.75,"5 6","20 4"
1,67949,0.962625036982869,0.0242473974444493,0.174850469565033,1.10398264322012,0.29466515765924,-5.16305903977492e-05,0.000107255279780071,0.17618252736199,1,"Jersey","1988-08-28",1988,"SOUTH AUCKLAND",52,130,830,2737.86538461538,"6 7 8","3 27 22"
1,67950,1.0552480857424,0.0205979108204292,0.171099097547236,0.932692452997541,0.167139873768364,5.20925422396899e-05,7.04979703111156e-05,0.171673134280153,0,"Holstein","1989-09-14",1989,"SOUTH AUCKLAND",69,137,1419,2352.65217391304,"4 5 6 7 8","2 3 42 15 7"
1,67951,1.23192100131645,0.0179812605347702,0.1724701922031,1.37046312950507,0.109194461334064,-5.85634932290307e-05,4.55322672379832e-05,0.171853472072622,0,"Holstein","1989-09-19",1989,"SOUTH AUCKLAND",92,117,1344,2365.67391304348,"4 5 6 7 8","11 1 45 17 18"
1,69182,0.923851367316325,0.0521917473920145,0.165044796822919,0.533472555926524,0.714314232851845,0.000192361688868533,0.000350962756973603,0.171859406138838,0,"Holstein","1990-08-26",1990,"SOUTH AUCKLAND",10,10,387,2029.4,"5 6","7 3"
1,69185,0.913328283763471,0.0425405470414211,0.159172152074938,0.659793705755832,0.36372170938519,0.000112034722937534,0.000159577419410388,0.162370475143872,1,"Jersey","1989-09-04",1989,"CANTERBURY",14,47,961,2263,"5 6 7","3 7 4"
