tax_id,Org_name,GeneID,CurrentID,Status,Symbol,chromosome,genomic_nucleotide_accession.version,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count
9913,Bos taurus,112447009,0,live,LOC112447009,1,NC_037328.1,207933,217580,minus,0
9913,Bos taurus,101903639,0,live,LOC101903639,1,NC_037328.1,228440,283123,minus,10
9913,Bos taurus,112447074,0,live,LOC112447074,1,NC_037328.1,284711,290531,minus,3
9913,Bos taurus,112447010,0,live,LOC112447010,1,NC_037328.1,328577,347809,minus,4
9913,Bos taurus,100138661,0,live,LOC100138661,1,NC_037328.1,419848,423189,minus,3
9913,Bos taurus,107131365,0,live,LOC107131365,1,NC_037328.1,427044,432644,minus,3
9913,Bos taurus,618212,0,live,LOC618212,1,NC_037328.1,479368,609411,plus,11
9913,Bos taurus,112447011,0,live,LOC112447011,1,NC_037328.1,625875,724307,plus,0
9913,Bos taurus,787710,0,live,OR5L18P,1,NC_037328.1,699142,700071,plus,0
9913,Bos taurus,112447083,0,live,OR5D55P,1,NC_037328.1,703149,704081,plus,0
9913,Bos taurus,507243,0,live,CLIC6,1,NC_037328.1,765757,821292,minus,6
9913,Bos taurus,539640,0,live,RCAN1,1,NC_037328.1,882105,1002231,plus,5
9913,Bos taurus,618840,0,live,LOC618840,1,NC_037328.1,904159,904732,minus,0
9913,Bos taurus,528014,0,live,KCNE1,1,NC_037328.1,1040523,1047096,plus,3
9913,Bos taurus,101904627,0,live,LOC101904627,1,NC_037328.1,1061265,1061597,plus,1
9913,Bos taurus,101903444,0,live,SMIM34,1,NC_037328.1,1074576,1078030,plus,1
9913,Bos taurus,768067,0,live,C21orf140,1,NC_037328.1,1096408,1101672,minus,2
9913,Bos taurus,615202,0,live,SMIM11,1,NC_037328.1,1102879,1118312,minus,4
9913,Bos taurus,768025,0,live,KCNE2,1,NC_037328.1,1123941,1131748,minus,2
9913,Bos taurus,112447088,0,live,LOC112447088,1,NC_037328.1,1239100,1241373,plus,3
9913,Bos taurus,615431,0,live,MRPS6,1,NC_037328.1,1390815,1455166,minus,3
9913,Bos taurus,282362,0,live,SLC5A3,1,NC_037328.1,1421587,1454689,minus,2
9913,Bos taurus,112448353,0,live,LOC112448353,1,NC_037328.1,1472144,1472250,plus,1
9913,Bos taurus,112447090,0,live,LOC112447090,1,NC_037328.1,1523610,1552380,plus,3
9913,Bos taurus,112447091,0,live,LOC112447091,1,NC_037328.1,1554489,1570050,minus,3
9913,Bos taurus,281640,0,live,ATP5PO,1,NC_037328.1,1643680,1651038,plus,7
9913,Bos taurus,510879,0,live,ITSN1,1,NC_037328.1,1654822,1908722,minus,43
9913,Bos taurus,112448438,0,live,TRNAC-GCA,1,NC_037328.1,1684563,1684634,plus,0
9913,Bos taurus,506426,0,live,CRYZL1,1,NC_037328.1,1909115,1943320,plus,14
9913,Bos taurus,112447103,0,live,LOC112447103,1,NC_037328.1,1926005,1943801,minus,2
9913,Bos taurus,522248,0,live,DONSON,1,NC_037328.1,1943961,1954002,plus,10
9913,Bos taurus,516462,0,live,SON,1,NC_037328.1,1954093,1985117,minus,17
9913,Bos taurus,281183,0,live,GART,1,NC_037328.1,1985253,2012391,plus,23
9913,Bos taurus,104970777,0,live,LOC104970777,1,NC_037328.1,2016219,2027523,minus,2
9913,Bos taurus,784171,0,live,DNAJC28,1,NC_037328.1,2027612,2032062,plus,4
9913,Bos taurus,615627,0,live,TMEM50B,1,NC_037328.1,2046697,2083569,plus,10
9913,Bos taurus,112448317,0,live,LOC112448317,1,NC_037328.1,2089684,2089808,minus,1
9913,Bos taurus,514889,0,live,IFNGR2,1,NC_037328.1,2098171,2129613,minus,8
9913,Bos taurus,282257,0,live,IFNAR1,1,NC_037328.1,2187824,2218344,minus,13
9913,Bos taurus,104970778,0,live,LOC104970778,1,NC_037328.1,2225371,2254303,minus,3
9913,Bos taurus,767864,0,live,IL10RB,1,NC_037328.1,2257124,2314086,minus,12
9913,Bos taurus,282258,0,live,IFNAR2,1,NC_037328.1,2315591,2350080,minus,9
9913,Bos taurus,526226,0,live,LOC526226,1,NC_037328.1,2398487,2399263,plus,1
9913,Bos taurus,107132172,0,live,LOC107132172,1,NC_037328.1,2409858,2410773,minus,0
9913,Bos taurus,539307,0,live,OLIG1,1,NC_037328.1,2497798,2499871,minus,1
9913,Bos taurus,100848368,0,live,LOC100848368,1,NC_037328.1,2506392,2509677,minus,3
9913,Bos taurus,539695,0,live,OLIG2,1,NC_037328.1,2545669,2549239,minus,2
9913,Bos taurus,112447133,0,live,LOC112447133,1,NC_037328.1,2615958,2621205,plus,4
9913,Bos taurus,515053,0,live,C1H21orf62,1,NC_037328.1,2749168,2774366,plus,3
9913,Bos taurus,514918,0,live,PAXBP1,1,NC_037328.1,2786812,2819637,plus,18
9913,Bos taurus,282087,0,live,SYNJ1,1,NC_037328.1,2827791,2918738,plus,34
9913,Bos taurus,535482,0,live,CFAP298,1,NC_037328.1,2924171,2936283,plus,7
9913,Bos taurus,516536,0,live,EVA1C,1,NC_037328.1,2936580,3081782,minus,12
9913,Bos taurus,104970779,0,live,LOC104970779,1,NC_037328.1,3078748,3084955,plus,2
9913,Bos taurus,530483,0,live,URB1,1,NC_037328.1,3103263,3180340,plus,39
9913,Bos taurus,505743,0,live,MRAP,1,NC_037328.1,3183205,3197714,minus,4
9913,Bos taurus,510809,0,live,MIS18A,1,NC_037328.1,3210652,3222939,plus,5
9913,Bos taurus,537640,0,live,HUNK,1,NC_037328.1,3498977,3630239,minus,11
9913,Bos taurus,112447138,0,live,LOC112447138,1,NC_037328.1,3529614,3530605,plus,3
9913,Bos taurus,541016,0,live,SCAF4,1,NC_037328.1,3760537,3822519,plus,20
9913,Bos taurus,281495,0,live,SOD1,1,NC_037328.1,3824612,3833280,minus,5
9913,Bos taurus,536517,0,live,TIAM1,1,NC_037328.1,3967031,4431761,plus,36
9913,Bos taurus,100313114,0,live,MIR2284I,1,NC_037328.1,4288068,4288144,plus,1
9913,Bos taurus,100526413,0,live,MIR2284X,1,NC_037328.1,4315515,4315610,minus,1
9913,Bos taurus,782140,0,live,LOC782140,1,NC_037328.1,4484339,4485163,minus,0
9913,Bos taurus,525831,0,live,LOC525831,1,NC_037328.1,4506818,4507610,minus,0
9913,Bos taurus,781604,0,live,KRTAP11-1,1,NC_037328.1,4673635,4674517,plus,1
9913,Bos taurus,100296254,0,live,KRTAP7-1,1,NC_037328.1,4736761,4737256,plus,1
9913,Bos taurus,101906373,0,live,KRTAP8-1,1,NC_037328.1,4759981,4760330,plus,1
9913,Bos taurus,112446888,0,live,LOC112446888,1,NC_037328.1,4845026,4845634,minus,1
9913,Bos taurus,112446904,0,live,LOC112446904,1,NC_037328.1,4857191,4857819,plus,1
9913,Bos taurus,112446920,0,live,LOC112446920,1,NC_037328.1,4867852,4868488,minus,1
9913,Bos taurus,112446936,0,live,LOC112446936,1,NC_037328.1,4878282,4878862,plus,1
9913,Bos taurus,101907866,0,live,LOC101907866,1,NC_037328.1,4888337,4888651,plus,1
9913,Bos taurus,112446952,0,live,LOC112446952,1,NC_037328.1,4901610,4902166,minus,1
9913,Bos taurus,101907950,0,live,LOC101907950,1,NC_037328.1,4909158,4909598,plus,1
9913,Bos taurus,112446968,0,live,LOC112446968,1,NC_037328.1,4913739,4914391,plus,1
9913,Bos taurus,112446980,0,live,LOC112446980,1,NC_037328.1,4925473,4926544,minus,1
9913,Bos taurus,785105,0,live,LOC785105,1,NC_037328.1,4941784,4942214,plus,1
9913,Bos taurus,112446981,0,live,LOC112446981,1,NC_037328.1,4946589,4947203,plus,1
9913,Bos taurus,112446982,0,live,LOC112446982,1,NC_037328.1,4957445,4958104,minus,1
9913,Bos taurus,112448301,0,live,LOC112448301,1,NC_037328.1,5108146,5108242,plus,0
9913,Bos taurus,112446983,0,live,LOC112446983,1,NC_037328.1,5140295,5140917,plus,1
9913,Bos taurus,112446984,0,live,LOC112446984,1,NC_037328.1,5173360,5173925,minus,1
9913,Bos taurus,112446985,0,live,LOC112446985,1,NC_037328.1,5183522,5184121,minus,1
9913,Bos taurus,618359,0,live,LOC618359,1,NC_037328.1,5194742,5195392,minus,1
